closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Aern Dagger II |          0 |           Wardrobe 7 |                                                                                          |                                               aern dagger II
                 Reraiser |          0 |            Inventory |                                                                                          |                                                     reraiser
           Alliance Shirt |          0 |               Safe 2 |                                                                                          |                                               alliance shirt
            Bronze Dagger |          0 |           Wardrobe 7 |                                                                                          |                                                bronze dagger
         Lustreless Scale |          0 |                 Case |                                                                                          |                                             lustreless scale
         Dispersal Mantle |          0 |                 Sack |                                                                                          |                                             dispersal mantle
       Arbatel Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                           arbatel earring +1
          Pel. Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                         peltast's earring +1
            Tengu War Fan |          0 |               Safe 2 |                                                                                          |                                                tengu war fan
           Antlion Spirit |          0 |               Locker |                                                                                          |                                               antlion spirit
       Found. Breastplate |          0 |               Safe 2 |                                                                                          |                                        founder's breastplate
            Mpaca's Staff |          0 |             Wardrobe |                                                                                          |                                                Mpaca's staff
           Destrier Beret |          0 |               Safe 2 |                                                                                          |                                               destrier beret
                Lionheart |          0 |             Wardrobe |                                                                                          |                                                    Lionheart
            Sroda Tathlum |          0 |           Wardrobe 4 |                                                                                          |                                                sroda tathlum
               Echo Drops |          0 |   Inventory, Satchel |                                                                                          |                                          flask of echo drops
             Boulder Case |          0 |           Case, Case |                                                                                          |                                                 boulder case
               Carnwenhan |          0 |             Wardrobe |                                                                                          |                                                   Carnwenhan
           Flame Claymore |          0 |           Wardrobe 7 |                                                                                          |                                               flame claymore
         Kupofried's Ring |          0 |               Locker |                                                                                          |                                             Kupofried's ring
        Ra'Kaz. Starstone |          0 |                 Case |                                                                                          |                                          Ra'Kaznar starstone
              Fancy Gilet |          0 |               Safe 2 |                                                                                          |                                                  fancy gilet
          Manasa Chasuble |          0 |           Wardrobe 8 |                                                                                          |                                              manasa chasuble
          Sarameya's Hide |          0 |               Locker |                                                                                          |                                              Sarameya's hide
              Mpaca's Bow |          0 |             Wardrobe |                                                                                          |                                                  Mpaca's bow
            Death Penalty |          0 |             Wardrobe |                                                                                          |                                                Death Penalty
           Vile Elixir +1 |          0 |            Inventory |                                                                                          |                                               vile elixir +1
          Toga. Sh. Pouch |          0 |               Locker |                                                                                          |                                     togakushi shuriken pouch
            Diemer Gorget |          0 |           Wardrobe 3 |                                                                                          |                                                diemer gorget
       Elite Royal Collar |          0 |           Wardrobe 3 |                                                                                          |                                           elite royal collar
             Sobek's Skin |          0 |               Locker |                                                                                          |                                                 Sobek's skin
            Pachy. Spirit |          0 |               Locker |                                                                                          |                                           pachypodium spirit
         A. Tok.: Fingers |          0 |                 Safe |                                                                                          |                                     Ambuscade token: fingers
                Ebon Coat |          0 |               Safe 2 |                                                                                          |                                                    ebon coat
      A. Voucher: Replica |          0 |                 Safe |                                                                                          |                                   Ambuscade voucher: replica
           Black. I. Card |          0 |                 Case |                                                                                          |                                blackened identification card
              Kei's Scale |          0 |                 Safe |                                                                                          |                                                  Kei's scale
                  Ashweed |          0 |                 Case |                                                                                          |                                              tuft of ashweed
        Nukumi Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                            nukumi earring +1
          Refined Grip +1 |          0 |           Wardrobe 2 |                                                                                          |                                              refined grip +1
             Leujaoam Log |          0 |              Satchel |                                                                                          |                                     Leujaoam observation log
          Abdhaljs Needle |          0 |                 Safe |                                                                                          |                                              Abdhaljs needle
       A. Voucher: Weapon |          0 |                 Safe |                                                                                          |                                    Ambuscade voucher: weapon
               Ebon Pants |          0 |               Safe 2 |                                                                                          |                                                   ebon pants
        Blurred Shield +1 |          0 |             Wardrobe |                                                                                          |                                            blurred shield +1
         H. Kindred Crest |          0 |            Inventory |                                                                                          |                                         High Kindred's crest
          Noble Poulaines |          0 |               Safe 2 |                                                                                          |                                              noble poulaines
              Onion Sword |          0 |               Safe 2 |                                                                                          |                                                  onion sword
         Ethereal Incense |          0 |                 Case |                                                                                          |                                    stick of ethereal incense
                H-P Bayld |          0 |            Inventory |                                                                                          |                                   pinch of high-purity bayld
                    Aegis |          0 |             Wardrobe |                                                                                          |                                                        Aegis
                   Pluton |          0 |                 Case |                                                                                          |                                                       pluton
                   Aettir |          0 |               Locker |                                                                                          |                                                       Aettir
            Tolba's Shell |          0 |                 Case |                                                                                          |                                                Tolba's shell
          Abdhaljs Thread |          0 |                 Safe |                                                                                          |                                     spool of Abdhaljs thread
            Ancient Blood |          0 |                 Safe |                                                                                          |                                      copy of "Ancient Blood"
            Azdaja's Horn |          0 |            Inventory |                                                                                          |                                                Azdaja's horn
      Founder's Gauntlets |          0 |               Safe 2 |                                                                                          |                                          founder's gauntlets
          Lustreless Hide |          0 |                 Case |                                                                                          |                                              lustreless hide
            Ilrusi Ledger |          0 |              Satchel |                                                                                          |                                         Ilrusi travel ledger
        Warder's Charm +1 |          0 |           Wardrobe 3 |                                                                                          |                                            warder's charm +1
              Duskcrawler |          0 |                 Case |                                                                                          |                                                  duskcrawler
              Shining One |          0 |             Wardrobe |                                                                                          |                                                  Shining One
          Apkallu Scepter |          0 |               Locker |                                                                                          |                                              apkallu scepter
                Riftdross |          0 |                 Case |                                                                                          |                                           clump of riftdross
      Confectioner's Ring |          0 |           Wardrobe 7 |                                                                                          |                                          confectioner's ring
             Abdhaljs Sap |          0 |                 Safe |                                                                                          |                                       bottle of Abdhaljs sap
              Crocea Mors |          0 |             Wardrobe |                                                                                          |                                                  Crocea Mors
           Ashen Crayfish |          0 |                 Case |                                                                                          |                                               ashen crayfish
        Turms Leggings +1 |          0 |           Wardrobe 5 |                                                                                          |                                            Turms leggings +1
                    Troth |          0 |           Wardrobe 8 |                                                                                          |                                                        Troth
             Sprout Beret |          0 |                 Safe |                                                                                          |                                                 Sprout beret
            Gravewood Log |          0 |                 Case |                                                                                          |                                                gravewood log
            Aurum Cuisses |          0 |               Safe 2 |                                                                                          |                                                aurum cuisses
            Grunfeld Rope |          0 |           Wardrobe 8 |                                                                                          |                                                grunfeld rope
           Per. Lucky Egg |          0 |           Wardrobe 4 |                                                                                          |                                            perfect lucky egg
           Caver's Shovel |          0 |           Wardrobe 8 |                                                                                          |                                               caver's shovel
               Fire Anima |          0 |                 Case |                                                                                          |                                         bottle of fire anima
         Macu. Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                          maculele earring +1
         Sarissapho. Belt |          0 |           Wardrobe 8 |                                                                                          |                                           sarissaphoroi belt
         Ziamet Bazubands |          0 |               Safe 2 |                                                                                          |                                             ziamet bazubands
                 Opashoro |          0 |           Wardrobe 8 |                                                                                          |                                                     Opashoro
            Voidhand: DRG |          0 |            Inventory |                                                                                          |                                   pair of void handwear: DRG
          Supershear Ring |          0 |           Wardrobe 8 |                                                                                          |                                              supershear ring
            Abdhaljs Seal |          0 |   Inventory, Satchel |                                                                                          |                                                Abdhaljs seal
                  Thibron |          0 |             Wardrobe |                                                                                          |                                                      Thibron
               Heyoka Cap |          0 |           Wardrobe 5 |                                                                                          |                                                   Heyoka cap
       S. Astral Detritus |          0 |                 Case |                                                                                          |                             crystal of swart astral detritus
            Fencing Degen |          0 |               Safe 2 |                                                                                          |                                                fencing degen
            Chapuli Arrow |          0 |              Satchel |                                                                                          |                                                chapuli arrow
           Ziamet Salvars |          0 |               Safe 2 |                                                                                          |                                               ziamet salvars
                   Nixxer |          0 |             Wardrobe |                                                                                          |                                                       nixxer
        Gunslinger's Cape |          0 |       Locker, Locker |                                                                                          |                                            gunslinger's cape
                   Xoanon |          0 |             Wardrobe |                                                                                          |                                                       Xoanon
           Domes. Earring |          0 |           Wardrobe 2 |                                                                                          |                                       domesticator's earring
              Compensator |          0 |             Wardrobe |                                                                                          |                                                  compensator
        Crystal Petrifact |          0 |                 Case |                                                                                          |                                            crystal petrifact
           Mog Pell (Red) |          0 |               Locker |                                                                                          |                                                 red mog pell
             Chaosbringer |          0 |               Safe 2 |                                                                                          |                                                 chaosbringer
                 Solstice |          0 |             Wardrobe |                                                                                          |                                                     solstice
                  Iapetus |          0 |               Safe 2 |                                                                                          |                                                      Iapetus
           Li. Gr. Coffer |          0 |               Locker |                                                                                          |                                      Liij-Vok's grand coffer
             Supay Weskit |          0 |               Safe 2 |                                                                                          |                                                 supay weskit
           Ym. Gr. Coffer |          0 |               Locker |                                                                                          |                                    Ymmr-Ulvid's grand coffer
           Alliance Pants |          0 |               Safe 2 |                                                                                          |                                               alliance pants
           Argute Bracers |          0 |           Wardrobe 8 |                                                                                          |                                               argute bracers
              Fiend Blood |          0 |                 Sack |                                                                                          |                                          vial of fiend blood
                 Eyepatch |          0 |               Safe 2 |                                                                                          |                                                     eyepatch
              Lengo Pants |          0 |               Safe 2 |                                                                                          |                                                  lengo pants
              Sanus Ensis |          0 |               Safe 2 |                                                                                          |                                                  sanus ensis
            Odyssean Helm |          0 |           Wardrobe 8 |                                                                                          |                                                odyssean helm
             Cermet Chunk |          0 |       Locker, Locker |                                                                                          |                                                 cermet chunk
            Brd. Cuffs +2 |          0 |               Locker |                                                                                          |                                              bard's cuffs +2
             Hike Khat +1 |          0 |               Safe 2 |                                                                                          |                                                 hike khat +1
             Kupon I-Seal |          0 |               Locker |                                                                                          |                                             Mog Kupon I-Seal
             Chocobo Suit |          0 |               Safe 2 |                                                                                          |                                                 chocobo suit
       Oshasha's Treatise |          0 |           Wardrobe 4 |                                                                                          |                                           Oshasha's treatise
               Anarchy +2 |          0 |             Wardrobe |                                                                                          |                                                   anarchy +2
             Neo Animator |          0 |           Wardrobe 4 |                                                                                          |                                                 neo animator
             Ioskeha Belt |          0 |           Wardrobe 3 |                                                                                          |                                                 ioskeha belt
             Tanmogayi +1 |          0 |               Locker |                                                                                          |                                                 tanmogayi +1
             C. Snow Cone |          0 |              Satchel |                                                                                          |                                           cehuetzi snow cone
          Loxotic Mace +1 |          0 |             Wardrobe |                                                                                          |                                              loxotic mace +1
         A. Chit: Foot +1 |          0 |                 Safe |                                                                                          |                                  Ambuscade chit: footgear +1
        Bhikku Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                            bhikku earring +1
             Iridal Staff |          0 |               Safe 2 |                                                                                          |                                                 iridal staff
              Gin's Scale |          0 |                 Safe |                                                                                          |                                                  Gin's scale
         A. Vou.: Fingers |          0 |                 Safe |                                                                                          |                                   Ambuscade voucher: fingers
                 Knit Cap |          0 |               Safe 2 |                                                                                          |                                                     knit cap
         Beck. Earring +1 |          0 |           Wardrobe 2 |                                                                                          |                                        beckoner's earring +1
                    Tomoe |          0 |               Safe 2 |                                                                                          |                                                        tomoe
          Abdhaljs Nugget |          0 |                 Safe |                                                                                          |                                              Abdhaljs nugget
         Malignance Sword |          0 |             Wardrobe |                                                                                          |                                             malignance sword
        Heroism Aggregate |          0 |                 Case |                                                                                          |                                            heroism aggregate
           Fanatic Gloves |          0 |               Safe 2 |                                                                                          |                                               fanatic gloves
                 Trishula |          0 |             Wardrobe |                                                                                          |                                                     Trishula
               Dark Anima |          0 |                 Case |                                                                                          |                                         bottle of dark anima
           Itzpapa. Scale |          0 |               Locker |                                                                                          |                                          Itzpapalotl's scale
        Leafslit Stone +1 |          0 |                 Case |                                                                                          |                                            leafslit stone +1
               Trump Card |          0 |            Inventory |                                                                                          |                                                   trump card
      Nicander's Necklace |          0 |           Wardrobe 8 |                                                                                          |                                          Nicander's necklace
              Heartbeater |          0 |               Locker |                                                                                          |                                                  heartbeater
           Terminal Plate |          0 |               Safe 2 |                                                                                          |                                               terminal plate
           Abdhaljs Metal |          0 |                 Safe |                                                                                          |                                       vial of Abdhaljs metal
             Abdhaljs Dye |          0 |                 Safe |                                                                                          |                                          pot of Abdhaljs dye
                 Godhands |          0 |             Wardrobe |                                                                                          |                                                     Godhands
           Chocobo Masque |          0 |               Safe 2 |                                                                                          |                                               chocobo masque
               Riftcinder |          0 |                 Case |                                                                                          |                                          pinch of riftcinder
           Abdhaljs Resin |          0 |                 Safe |                                                                                          |                                  container of Abdhaljs resin
          Sakpata's Sword |          0 |             Wardrobe |                                                                                          |                                              Sakpata's sword
             Debahocho +1 |          0 |           Wardrobe 7 |                                                                                          |                                                 Debahocho +1
                 Masamune |          0 |             Wardrobe |                                                                                          |                                                     Masamune
        Ayanmo Corazza +2 |          0 |            Inventory |                                                                                          |                                            ayanmo corazza +2
           Shard of Trust |          0 |            Inventory |                                                                                          |                                               shard of trust
